"COLOR_ID","COLOR_NAME","COLOR_RGB","IS_TRANSPARENT"
-1,"UNKNOWN","0033B2","N"
0,"BLACK","05131D","N"
1,"BLUE","0055BF","N"
2,"GREEN","237841","N"
3,"DARK TURQUOISE","008F9B","N"
4,"RED","C91A09","N"
5,"DARK PINK","C870A0","N"
6,"BROWN","583927","N"
7,"LIGHT GRAY","9BA19D","N"
8,"DARK GRAY","6D6E5C","N"
9,"LIGHT BLUE","B4D2E3","N"
10,"BRIGHT GREEN","4B9F4A","N"
11,"LIGHT TURQUOISE","55A5AF","N"
12,"SALMON","F2705E","N"
13,"PINK","FC97AC","N"
14,"YELLOW","F2CD37","N"
15,"WHITE","FFFFFF","N"
17,"LIGHT GREEN","C2DAB8","N"
18,"LIGHT YELLOW","FBE696","N"
19,"TAN","E4CD9E","N"
20,"LIGHT VIOLET","C9CAE2","N"
21,"GLOW IN DARK OPAQUE","D4D5C9","N"
22,"PURPLE","81007B","N"
23,"DARK BLUE-VIOLET","2032B0","N"
25,"ORANGE","FE8A18","N"
26,"MAGENTA","923978","N"
27,"LIME","BBE90B","N"
28,"DARK TAN","958A73","N"
29,"BRIGHT PINK","E4ADC8","N"
30,"MEDIUM LAVENDER","AC78BA","N"
31,"LAVENDER","E1D5ED","N"
32,"TRANS-BLACK IR LENS","635F52","Y"
33,"TRANS-DARK BLUE","0020A0","Y"
34,"TRANS-GREEN","84B68D","Y"
35,"TRANS-BRIGHT GREEN","D9E4A7","Y"
36,"TRANS-RED","C91A09","Y"
40,"TRANS-BLACK","635F52","Y"
41,"TRANS-LIGHT BLUE","AEEFEC","Y"
42,"TRANS-NEON GREEN","F8F184","Y"
43,"TRANS-VERY LT BLUE","C1DFF0","Y"
45,"TRANS-DARK PINK","DF6695","Y"
46,"TRANS-YELLOW","F5CD2F","Y"
47,"TRANS-CLEAR","FCFCFC","Y"
52,"TRANS-PURPLE","A5A5CB","Y"
54,"TRANS-NEON YELLOW","DAB000","Y"
57,"TRANS-NEON ORANGE","FF800D","Y"
60,"CHROME ANTIQUE BRASS","645A4C","N"
61,"CHROME BLUE","6C96BF","N"
62,"CHROME GREEN","3CB371","N"
63,"CHROME PINK","AA4D8E","N"
64,"CHROME BLACK","1B2A34","N"
68,"VERY LIGHT ORANGE","F3CF9B","N"
69,"LIGHT PURPLE","CD6298","N"
70,"REDDISH BROWN","582A12","N"
71,"LIGHT BLUISH GRAY","A0A5A9","N"
72,"DARK BLUISH GRAY","6C6E68","N"
73,"MEDIUM BLUE","5A93DB","N"
74,"MEDIUM GREEN","73DCA1","N"
75,"SPECKLE BLACK-COPPER","000000","N"
76,"SPECKLE DBGRAY-SILVER","635F61","N"
77,"LIGHT PINK","FECCCF","N"
78,"LIGHT FLESH","F6D7B3","N"
79,"MILKY WHITE","FFFFFF","N"
80,"METALLIC SILVER","A5A9B4","N"
81,"METALLIC GREEN","899B5F","N"
82,"METALLIC GOLD","DBAC34","N"
84,"MEDIUM DARK FLESH","CC702A","N"
85,"DARK PURPLE","3F3691","N"
86,"DARK FLESH","7C503A","N"
89,"ROYAL BLUE","4C61DB","N"
92,"FLESH","D09168","N"
100,"LIGHT SALMON","FEBABD","N"
110,"VIOLET","4354A3","N"
112,"BLUE-VIOLET","6874CA","N"
114,"GLITTER TRANS-DARK PINK","DF6695","Y"
115,"MEDIUM LIME","C7D23C","N"
117,"GLITTER TRANS-CLEAR","FFFFFF","Y"
118,"AQUA","B3D7D1","N"
120,"LIGHT LIME","D9E4A7","N"
125,"LIGHT ORANGE","F9BA61","N"
129,"GLITTER TRANS-PURPLE","A5A5CB","Y"
132,"SPECKLE BLACK-SILVER","000000","N"
133,"SPECKLE BLACK-GOLD","000000","N"
134,"COPPER","AE7A59","N"
135,"PEARL LIGHT GRAY","9CA3A8","N"
137,"METAL BLUE","7988A1","N"
142,"PEARL LIGHT GOLD","DCBC81","N"
143,"TRANS-MEDIUM BLUE","CFE2F7","Y"
148,"PEARL DARK GRAY","575857","N"
150,"PEARL VERY LIGHT GRAY","ABADAC","N"
151,"VERY LIGHT BLUISH GRAY","E6E3E0","N"
158,"YELLOWISH GREEN","DFEEA5","N"
178,"FLAT DARK GOLD","B48455","N"
179,"FLAT SILVER","898788","N"
182,"TRANS-ORANGE","F08F1C","Y"
183,"PEARL WHITE","F2F3F2","N"
191,"BRIGHT LIGHT ORANGE","F8BB3D","N"
212,"BRIGHT LIGHT BLUE","9FC3E9","N"
216,"RUST","B31004","N"
226,"BRIGHT LIGHT YELLOW","FFF03A","N"
230,"TRANS-PINK","E4ADC8","Y"
232,"SKY BLUE","7DBFDD","N"
236,"TRANS-LIGHT PURPLE","96709F","Y"
272,"DARK BLUE","0A3463","N"
288,"DARK GREEN","184632","N"
294,"GLOW IN DARK TRANS","BDC6AD","Y"
297,"PEARL GOLD","AA7F2E","N"
308,"DARK BROWN","352100","N"
313,"MAERSK BLUE","3592C3","N"
320,"DARK RED","720E0F","N"
321,"DARK AZURE","078BC9","N"
322,"MEDIUM AZURE","36AEBF","N"
323,"LIGHT AQUA","ADC3C0","N"
326,"OLIVE GREEN","9B9A5A","N"
334,"CHROME GOLD","BBA53D","N"
335,"SAND RED","D67572","N"
351,"MEDIUM DARK PINK","F785B1","N"
366,"EARTH ORANGE","FA9C1C","N"
373,"SAND PURPLE","845E84","N"
378,"SAND GREEN","A0BCAC","N"
379,"SAND BLUE","6074A1","N"
383,"CHROME SILVER","E0E0E0","N"
450,"FABULAND BROWN","B67B50","N"
462,"MEDIUM ORANGE","FFA70B","N"
484,"DARK ORANGE","A95500","N"
503,"VERY LIGHT GRAY","E6E3DA","N"
1000,"GLOW IN DARK WHITE","D9D9D9","N"
1001,"MEDIUM VIOLET","9391E4","N"
1002,"GLITTER TRANS-NEON GREEN","C0F500","Y"
1003,"GLITTER TRANS-LIGHT BLUE","68BCC5","Y"
1004,"TRANS FLAME YELLOWISH ORANGE","FCB76D","Y"
1005,"TRANS FIRE YELLOW","FBE890","Y"
1006,"TRANS LIGHT ROYAL BLUE","B4D4F7","Y"
1007,"REDDISH LILAC","8E5597","N"
9999,"[NO COLOR]","05131D","N"
